TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:03:53:817285,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/boot, path: /run/systemd/unit-root/boot, type: <nil>, flags: 20480",0
04:03:53:817648,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: tmpfs, path: /tmp/namespace-dev-tP4WRE/dev, type: tmpfs, flags: 16777226",0
04:03:53:817787,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /dev/pts, path: /tmp/namespace-dev-tP4WRE/dev/pts, type: <nil>, flags: 4096",0
04:03:53:817929,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /dev/shm, path: /tmp/namespace-dev-tP4WRE/dev/shm, type: <nil>, flags: 4096",0
04:03:53:818011,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /dev/mqueue, path: /tmp/namespace-dev-tP4WRE/dev/mqueue, type: <nil>, flags: 4096",0
04:03:53:818055,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /dev/hugepages, path: /tmp/namespace-dev-tP4WRE/dev/hugepages, type: <nil>, flags: 4096",0
04:03:53:824371,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /tmp/namespace-dev-tP4WRE/dev, path: /run/systemd/unit-root/dev, type: <nil>, flags: 8192",0
04:03:53:825283,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/etc, path: /run/systemd/unit-root/etc, type: <nil>, flags: 20480",0
04:03:53:825982,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/home, type: <nil>, flags: 20480",0
04:03:53:829127,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: proc, path: /run/systemd/unit-root/proc, type: proc, flags: 14",0
04:03:53:829229,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/acpi, path: /run/systemd/unit-root/proc/acpi, type: <nil>, flags: 20480",0
04:03:53:829362,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root/proc/asound, path: /run/systemd/unit-root/proc/asound, type: <nil>, flags: 20480",0
