TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:39:08:417364,0,NetworkManager,892,18090,0,net_packet_dns_request,"metadata: {192.168.29.168 8.8.8.8 45332 53 17 86 any}, dns_questions: [{connectivity-check.ubuntu.com AAAA IN}]",0
04:39:08:428018,0,swapper/3,0,0,0,net_packet_dns_response,"metadata: {8.8.8.8 192.168.29.168 53 45332 17 278 any}, dns_response: [{{connectivity-check.ubuntu.com A IN} [{A 15 91.189.91.97} {A 15 185.125.190.96} {A 15 185.125.190.48} {A 15 185.125.190.97} {A 15 91.189.91.98} {A 15 185.125.190.18} {A 15 185.125.190.49} {A 15 185.125.190.17} {A 15 91.189.91.48} {A 15 91.189.91.49} {A 15 91.189.91.96} {A 15 185.125.190.98}]}]",0
04:39:08:429075,0,swapper/3,0,0,0,net_packet_dns_response,"metadata: {8.8.8.8 192.168.29.168 53 45332 17 422 any}, dns_response: [{{connectivity-check.ubuntu.com AAAA IN} [{AAAA 28 2620:2d:4000:1::2b} {AAAA 28 2620:2d:4002:1::196} {AAAA 28 2620:2d:4002:1::198} {AAAA 28 2620:2d:4002:1::197} {AAAA 28 2620:2d:4000:1::98} {AAAA 28 2620:2d:4000:1::97} {AAAA 28 2620:2d:4000:1::96} {AAAA 28 2001:67c:1562::24} {AAAA 28 2620:2d:4000:1::22} {AAAA 28 2001:67c:1562::23} {AAAA 28 2620:2d:4000:1::23} {AAAA 28 2620:2d:4000:1::2a}]}]",0
04:39:08:429350,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:91.189.91.97 sin_port:80]",0
04:39:08:429401,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:185.125.190.96 sin_port:80]",0
04:39:08:429415,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:185.125.190.48 sin_port:80]",0
04:39:08:429427,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:185.125.190.97 sin_port:80]",0
04:39:08:429487,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:91.189.91.98 sin_port:80]",0
04:39:08:429500,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:185.125.190.18 sin_port:80]",0
04:39:08:429512,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:185.125.190.49 sin_port:80]",0
04:39:08:429523,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:185.125.190.17 sin_port:80]",0
04:39:08:429536,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:91.189.91.48 sin_port:80]",0
04:39:08:429547,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:91.189.91.49 sin_port:80]",0
04:39:08:429559,0,NetworkManager,892,18090,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:91.189.91.96 sin_port:80]",0
