TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
00:56:50:586302,101,systemd-resolve,638,638,0,net_packet_dns_response,"metadata: {127.0.0.53 127.0.0.1 53 32772 17 446 any}, dns_response: [{{connectivity-check.ubuntu.com A IN} [{A 5 185.125.190.48} {A 5 91.189.91.98} {A 5 91.189.91.49} {A 5 185.125.190.96} {A 5 185.125.190.98} {A 5 185.125.190.97} {A 5 185.125.190.18} {A 5 185.125.190.17} {A 5 91.189.91.96} {A 5 185.125.190.49} {A 5 91.189.91.97} {A 5 91.189.91.48}]}]",0
00:56:50:586351,101,systemd-resolve,638,638,0,net_packet_dns_response,"metadata: {127.0.0.53 127.0.0.1 53 32772 17 446 any}, dns_response: [{{connectivity-check.ubuntu.com A IN} [{A 5 185.125.190.48} {A 5 91.189.91.98} {A 5 91.189.91.49} {A 5 185.125.190.96} {A 5 185.125.190.98} {A 5 185.125.190.97} {A 5 185.125.190.18} {A 5 185.125.190.17} {A 5 91.189.91.96} {A 5 185.125.190.49} {A 5 91.189.91.97} {A 5 91.189.91.48}]}]",0
00:56:50:586885,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::98 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587074,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::97 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587122,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::2b sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587159,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2001:67c:1562::24 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587193,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4002:1::196 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587227,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::22 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587260,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4002:1::198 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587294,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::23 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587330,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2001:67c:1562::23 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587365,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4002:1::197 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
00:56:50:587402,0,NetworkManager,894,7865,0,security_socket_connect,"sockfd: 30, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::2a sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
